cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,length
SAIL,SAIL-DEMO-CBBC73,FASTENER KAMAX U1OC-NR7LXBOQ2-4KK3-ZBY9 76 INCH 175 MM 12.9 METRIC COARSE,EACH,CAT-FST,Fastener,Kamax,U1OC-NR7LxBOQ2-4KK3-ZBY9,,,,,,,76 inch,,,,,,
ONGC,ONGC-DEMO-3912CA,VALVE VELAN TYOL-RDPQ-NW59-WL8H-5FGD-LHCB 46.55 INCH 900# A105 THREADED,EACH,CAT-VLV,Valve,Velan,TYOL-RDPQ-NW59-WL8H-5FGD-LHCB,,46.55 inch,900#,,,,,,,A105,,Threaded,
NTPC,NTPC-DEMO-D2AA5D,ELECTRICAL COMPONENT EATON PFFT-Q5CP-ZW07-1ZCS 4474.48 KA 303361 KV 4P 67 KA,EACH,CAT-ELC,Electrical Component,Eaton,PFFT-Q5CP-ZW07-1ZCS,,,,,,,,,,,,,
SAIL,SAIL-DEMO-C8E745,PIPE TENARIS 1X33-9O5V-Z10J-H89M-BVBW 55.82 INCH SCH160 ASTM A106 GR B 8 FT,EACH,CAT-PIP,Pipe,Tenaris,1X33-9O5V-Z10J-H89M-BVBW,ASTM A106 Gr B,,,,,,55.82 inch,SCH160,,,,,
SAIL,SAIL-DEMO-B9778A,LUBRICANT SHELL IVUC F5OG OSKZ - I1QS ISO VG 68 SILICONE NLGI 2 694 KG,EACH,CAT-LUB,Lubricant,Shell,IVUC F5OG OSKZ - I1QS,,,,,,,,,,,,,
NTPC,NTPC-DEMO-359878,FASTENER WÜRTH WTVS-R4SBXG3LU-ULNM-Z34O 65 INCH 27 INCH 10.9 METRIC FINE,EACH,CAT-FST,Fastener,Würth,WTVS-R4SBxG3LU-ULNM-Z34O,,,,,,,65 inch,,,,,,
ONGC,ONGC-DEMO-62BF18,BEARING NSK 10T9BUUKWVBJ (E.G. 6204-2RS1/C3) 212 MM 1994 INCH 490 MM ZZ,EACH,CAT-BRG,Bearing,NSK,10T9BUUKWVBJ (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,
ONGC,ONGC-DEMO-2921D7,PUMP FLOWSERVE WRX6-K5SI-4L4I-RSFW 10232 GPM 1935 M 3243.13 HP,EACH,CAT-PMP,Pump,Flowserve,WRX6-K5SI-4L4I-RSFW,,,,,3243.13 HP,,,,,,,,
BHEL,BHEL-DEMO-5EC9BC,FLANGE MELESI OV54-7P17-4KGE-KHMY-MXFW 16.52 MM 900# SOCKET WELD FLAT FACE (FF),EACH,CAT-FLG,Flange,Melesi,OV54-7P17-4KGE-KHMY-MXFW,,16.52 mm,900#,,,,,,,,,,
SAIL,SAIL-DEMO-B4F232,BEARING NTN 17C9IXIHMI4I (E.G. 6204-2RS1/C3) 293 MM 1782 INCH 320 INCH OPEN,EACH,CAT-BRG,Bearing,NTN,17C9IXIHMI4I (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
BHEL,BHEL-DEMO-B4CE60,ELECTRICAL COMPONENT ABB 19I2-LNYF-J8EN-ZYWX 1119.05 A 113308 V 3P 66 KA,EACH,CAT-ELC,Electrical Component,ABB,19I2-LNYF-J8EN-ZYWX,,,,,,,,,,,,,
IOCL,IOCL-DEMO-3A946E,MOTOR BALDOR 1PFC-QSX9-7SWY-FILZ-37JP 8576.69 KW 6630 V 60 HZ 900 RPM TEFC,EACH,CAT-MTR,Motor,Baldor,1PFC-QSX9-7SWY-FILZ-37JP,,,,6630 V,8576.69 kW,60 HZ,,,,,,,
IOCL,IOCL-DEMO-A27A1D,PPE 3M SYK7-VO5E-9A7M-1FWD 9 LEATHER EN 397 HI-VIS,EACH,CAT-PPE,PPE,3M,SYK7-VO5E-9A7M-1FWD,,9,,,,,,,,,,,
IOCL,IOCL-DEMO-70BB2E,BEARING SKF 26DOCQPKA56T (E.G. 6204-2RS1/C3) 412 MM 1201 MM 20 INCH 2RS,EACH,CAT-BRG,Bearing,SKF,26DOCQPKA56T (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
SAIL,SAIL-DEMO-F742F0,CABLE POLYCAB UMWXC X P23Y SQMM ROY1/N9ZG CYI5 26 EACH 883.24 MM2 11KV PVC,EACH,CAT-CBL,Cable,Polycab,UMWXC x P23Y sqmm ROY1/N9ZG CYI5,,,,,,,,,,,,,
NTPC,NTPC-DEMO-751E04,BEARING FAG 1KYWYGKUH36K (E.G. 6204-2RS1/C3) 27 INCH 1369 INCH 368 MM 2RS,EACH,CAT-BRG,Bearing,FAG,1KYWYGKUH36K (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
BHEL,BHEL-DEMO-D56897,FASTENER HILTI M13K-1Z63XDS7D-PBTA-EVZU 41 MM 278 MM 8.8 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,M13K-1Z63xDS7D-PBTA-EVZU,,,,,,,41 mm,,,,,,
ONGC,ONGC-DEMO-FD1569,PIPE JINDAL SAW FAI2-VHF2-K4FA-33TK-42KM 15.22 MM SCH160 ASTM A106 GR B 11 M,EACH,CAT-PIP,Pipe,Jindal SAW,FAI2-VHF2-K4FA-33TK-42KM,ASTM A106 Gr B,,,,,,15.22 mm,SCH160,,,,,
SAIL,SAIL-DEMO-7F5873,BEARING NSK ELL03Z40YQCT (E.G. 6204-2RS1/C3) 52 MM 1236 INCH 139 INCH 2RS,EACH,CAT-BRG,Bearing,NSK,ELL03Z40YQCT (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,
IOCL,IOCL-DEMO-A01C10,PPE DUPONT FBL2-RMRO-XR9T-S814 8 HDPE ANSI RED,EACH,CAT-PPE,PPE,DuPont,FBL2-RMRO-XR9T-S814,,8,,,,,,,,,,,
SAIL,SAIL-DEMO-93B256,FASTENER HILTI 994X-2XTJXC27O-MD0M-GMGF 11 MM 195 MM 12.9 UNC,EACH,CAT-FST,Fastener,Hilti,994X-2XTJxC27O-MD0M-GMGF,,,,,,,11 mm,,,,,,
IOCL,IOCL-DEMO-EC4337,PUMP ITT GOULDS X4VP-XAXF-TON2-HRAJ 19623 GPM 14 FT 2912.92 HP,EACH,CAT-PMP,Pump,ITT Goulds,X4VP-XAXF-TON2-HRAJ,,,,,2912.92 HP,,,,,,,,
SAIL,SAIL-DEMO-B2F672,MOTOR ABB R99V-3KHS-XMFT-RH53-ESRD 320.3 HP 5022 KV 50 HZ 900 RPM TEFC,EACH,CAT-MTR,Motor,ABB,R99V-3KHS-XMFT-RH53-ESRD,,,,5022 KV,320.3 HP,50 HZ,,,,,,,
NTPC,NTPC-DEMO-30CBC8,FASTENER HILTI DXOF-KHGTX2ZVU-JDPO-2A21 75 INCH 351 MM 8.8 UNF,EACH,CAT-FST,Fastener,Hilti,DXOF-KHGTx2ZVU-JDPO-2A21,,,,,,,75 inch,,,,,,
ONGC,ONGC-DEMO-7AB174,BEARING FAG P93D5VY9K03M (E.G. 6204-2RS1/C3) 583 INCH 557 MM 276 MM NR,EACH,CAT-BRG,Bearing,FAG,P93D5VY9K03M (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
NTPC,NTPC-DEMO-B9B61F,CABLE LAPP ZTU2C X TQHY SQMM N62B/MNAN 2TDU 71 EACH 708.25 MM2 3.3KV EPR,EACH,CAT-CBL,Cable,LAPP,ZTU2C x TQHY sqmm N62B/MNAN 2TDU,,,,,,,,,,,,,
BHEL,BHEL-DEMO-9DAC49,MOTOR CROMPTON GREAVES 06IC-957P-3W57-FQP6-6TRF 1366.78 HP 7031 KV 50 HZ 1200 RPM TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,06IC-957P-3W57-FQP6-6TRF,,,,7031 KV,1366.78 HP,50 HZ,,,,,,,
ONGC,ONGC-DEMO-7B5B47,INSTRUMENTATION HONEYWELL ENMP-4PJ7-QFYM-99KV-OQX3 7532 DEGF MODBUS 1/2 NPT 0.5%,EACH,CAT-INS,Instrumentation,Honeywell,ENMP-4PJ7-QFYM-99KV-OQX3,,,,,,,,,,,,,
NTPC,NTPC-DEMO-7658B7,GASKET GARLOCK 3RL7-WWST-SPCN-1PEL-DGJB-WP3Z 71.29 MM 2500# CNAF GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Garlock,3RL7-WWST-SPCN-1PEL-DGJB-WP3Z,,71.29 mm,2500#,,,,,,,,,,
SAIL,SAIL-DEMO-8BCD4F,BEARING NTN 8OX9DYVSPXQI (E.G. 6204-2RS1/C3) 450 MM 1869 MM 390 MM Z,EACH,CAT-BRG,Bearing,NTN,8OX9DYVSPXQI (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
BHEL,BHEL-DEMO-017847,PUMP ITT GOULDS FH4X-35A7-7Y4J-32ZH 11658 M3/H 2835 M 2105.44 KW,EACH,CAT-PMP,Pump,ITT Goulds,FH4X-35A7-7Y4J-32ZH,,,,,2105.44 KW,,,,,,,,
IOCL,IOCL-DEMO-6A415E,ELECTRICAL COMPONENT EATON 7KC6-UP7M-7JDN-NMYM 5069.2 KA 603155 KV 4P 81 KA,EACH,CAT-ELC,Electrical Component,Eaton,7KC6-UP7M-7JDN-NMYM,,,,,,,,,,,,,
IOCL,IOCL-DEMO-4BC9E8,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC 9QZU-2M1Z-W0CY-SREZ 1358.85 A 702904 V 4P 114 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,9QZU-2M1Z-W0CY-SREZ,,,,,,,,,,,,,
NTPC,NTPC-DEMO-5A9AD4,GASKET KLINGER CLNE-7LOB-Q2IA-VGM1-KXKI-ZEJO 64.7 INCH 2500# RTJ PTFE,EACH,CAT-GSK,Gasket,Klinger,CLNE-7LOB-Q2IA-VGM1-KXKI-ZEJO,,64.7 inch,2500#,,,,,,,,,,
SAIL,SAIL-DEMO-398AA3,MOTOR BALDOR R1AT-WL1N-AHF4-5VLG-PTV4 2920.72 KW 116 V 60 HZ 1500 RPM TEFC,EACH,CAT-MTR,Motor,Baldor,R1AT-WL1N-AHF4-5VLG-PTV4,,,,116 V,2920.72 kW,60 HZ,,,,,,,
SAIL,SAIL-DEMO-1C627E,PIPE VALLOUREC TIQA-P85B-UIP6-9Q0C-K069 22.37 MM SCH40 API 5L X52 9 FT,EACH,CAT-PIP,Pipe,Vallourec,TIQA-P85B-UIP6-9Q0C-K069,API 5L X52,,,,,,22.37 mm,SCH40,,,,,
BHEL,BHEL-DEMO-4435A5,INSTRUMENTATION YOKOGAWA WHXU-L7N1-5DFG-197Z-XCU7 6856 DEGF 4-20MA 1/2 NPT 1.0%,EACH,CAT-INS,Instrumentation,Yokogawa,WHXU-L7N1-5DFG-197Z-XCU7,,,,,,,,,,,,,
IOCL,IOCL-DEMO-1A89B8,ELECTRICAL COMPONENT ABB 0IKE-H85R-SRST-ILAL 715.81 KA 587095 V 1P 94 KA,EACH,CAT-ELC,Electrical Component,ABB,0IKE-H85R-SRST-ILAL,,,,,,,,,,,,,
NTPC,NTPC-DEMO-E07BDB,INSTRUMENTATION ENDRESS+HAUSER GS7M-1SWV-R9PR-B2PM-UBJD 1103 DEGC 4-20MA SANITARY 0.5%,EACH,CAT-INS,Instrumentation,Endress+Hauser,GS7M-1SWV-R9PR-B2PM-UBJD,,,,,,,,,,,,,
NTPC,NTPC-DEMO-EF26B3,FLANGE CHW FORGE X811-130N-5DOC-CMLE-6KIV 16.57 MM 900# BLIND RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,CHW Forge,X811-130N-5DOC-CMLE-6KIV,,16.57 mm,900#,,,,,,,,,,
IOCL,IOCL-DEMO-36C982,INSTRUMENTATION HONEYWELL ZBM3-3H5T-7WS0-S24U-LK9Y 2168 DEGF 0-10V SANITARY 0.5%,EACH,CAT-INS,Instrumentation,Honeywell,ZBM3-3H5T-7WS0-S24U-LK9Y,,,,,,,,,,,,,
ONGC,ONGC-DEMO-403314,LUBRICANT MOBIL 7S33 S66B IW2S - 9IRK ISO VG 32 MINERAL NLGI 1 63 KG,EACH,CAT-LUB,Lubricant,Mobil,7S33 S66B IW2S - 9IRK,,,,,,,,,,,,,
IOCL,IOCL-DEMO-E39217,GASKET KLINGER WXI8-99HT-24JJ-FVGU-X70C-CUMV 48.13 MM 300# PTFE GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Klinger,WXI8-99HT-24JJ-FVGU-X70C-CUMV,,48.13 mm,300#,,,,,,,,,,
IOCL,IOCL-DEMO-D89CE2,PIPE NIPPON STEEL WOUC-VWPR-W69E-LHAT-RP2H 65.76 MM SCH40 ASTM A312 TP316L 8 FT,EACH,CAT-PIP,Pipe,Nippon Steel,WOUC-VWPR-W69E-LHAT-RP2H,ASTM A312 TP316L,,,,,,65.76 mm,SCH40,,,,,
IOCL,IOCL-DEMO-670852,ELECTRICAL COMPONENT ABB 3QCL-9OL4-DSIL-EXFX 1982.65 KA 452109 KV 4P 74 KA,EACH,CAT-ELC,Electrical Component,ABB,3QCL-9OL4-DSIL-EXFX,,,,,,,,,,,,,
IOCL,IOCL-DEMO-660F7C,MOTOR WEG 79W2-OGZQ-OPQK-56MO-EWIC 5017.58 KW 4998 V 60 HZ 900 RPM TENV,EACH,CAT-MTR,Motor,WEG,79W2-OGZQ-OPQK-56MO-EWIC,,,,4998 V,5017.58 kW,60 HZ,,,,,,,
NTPC,NTPC-DEMO-D5AE5A,INSTRUMENTATION ROSEMOUNT 4VU2-17NK-868Q-60AL-JI85 9344 DEGF PROFIBUS 1/4 NPT 0.25%,EACH,CAT-INS,Instrumentation,Rosemount,4VU2-17NK-868Q-60AL-JI85,,,,,,,,,,,,,
BHEL,BHEL-DEMO-C23329,CABLE PRYSMIAN 5VBYC X JQ4Y SQMM PNRD/SBU9 TDBL 9 EACH 157.69 MM2 1.1KV EPR,EACH,CAT-CBL,Cable,Prysmian,5VBYC x JQ4Y sqmm PNRD/SBU9 TDBL,,,,,,,,,,,,,
IOCL,IOCL-DEMO-8C7BBC,BEARING TIMKEN ZLIJXWAS6R9Z (E.G. 6204-2RS1/C3) 676 INCH 599 INCH 61 INCH OPEN,EACH,CAT-BRG,Bearing,Timken,ZLIJXWAS6R9Z (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
ONGC,ONGC-DEMO-E4A4F5,VALVE VELAN GLIV-3QC4-8MI5-0XR5-OMWL-AZAA 22.13 MM PN40 CF8M SOCKET WELD,EACH,CAT-VLV,Valve,Velan,GLIV-3QC4-8MI5-0XR5-OMWL-AZAA,,22.13 mm,PN40,,,,,,,CF8M,,Socket Weld,
IOCL,IOCL-DEMO-8A2744,FLANGE GALPERTI 2N1A-DVCD-6771-PVB1-4ZT6 58.81 INCH 300# SOCKET WELD RAISED FACE (RF),EACH,CAT-FLG,Flange,Galperti,2N1A-DVCD-6771-PVB1-4ZT6,,58.81 inch,300#,,,,,,,,,,
NTPC,NTPC-DEMO-F69270,FLANGE GALPERTI 50DF-QG2X-JYCX-IPNY-XANC 13.11 MM 900# BLIND RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Galperti,50DF-QG2X-JYCX-IPNY-XANC,,13.11 mm,900#,,,,,,,,,,
SAIL,SAIL-DEMO-A82F49,PUMP KSB 10S4-56VT-6KXC-YCFV 11212 M3/H 1528 M 3854.15 KW,EACH,CAT-PMP,Pump,KSB,10S4-56VT-6KXC-YCFV,,,,,3854.15 KW,,,,,,,,
BHEL,BHEL-DEMO-08B2F3,FLANGE GALPERTI TB86-G9LY-G6Y0-UPIZ-LUL4 12.17 MM 1500# BLIND FLAT FACE (FF),EACH,CAT-FLG,Flange,Galperti,TB86-G9LY-G6Y0-UPIZ-LUL4,,12.17 mm,1500#,,,,,,,,,,
ONGC,ONGC-DEMO-10284B,LUBRICANT KLÜBER RAEY EV0R 9PJU - FGR3 ISO VG 220 MINERAL NLGI 1 842 L,EACH,CAT-LUB,Lubricant,Klüber,RAEY EV0R 9PJU - FGR3,,,,,,,,,,,,,
IOCL,IOCL-DEMO-EC2947,FLANGE GALPERTI 66DW-K14H-NN3W-GJML-PFS1 51.07 INCH 900# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,Galperti,66DW-K14H-NN3W-GJML-PFS1,,51.07 inch,900#,,,,,,,,,,
NTPC,NTPC-DEMO-9E9EE8,ELECTRICAL COMPONENT SIEMENS VAHX-LLSN-4NAA-PFPC 3948.74 KA 134016 KV 4P 18 KA,EACH,CAT-ELC,Electrical Component,Siemens,VAHX-LLSN-4NAA-PFPC,,,,,,,,,,,,,
SAIL,SAIL-DEMO-0A5C80,FASTENER BOSSARD THKO-Y5GJX8MMG-R0XH-5XOY 74 MM 323 MM A4-80 UNF,EACH,CAT-FST,Fastener,Bossard,THKO-Y5GJx8MMG-R0XH-5XOY,,,,,,,74 mm,,,,,,
ONGC,ONGC-DEMO-13D8BD,BEARING TIMKEN 4371V2YQKAKA (E.G. 6204-2RS1/C3) 426 MM 1507 INCH 447 MM ZZ,EACH,CAT-BRG,Bearing,Timken,4371V2YQKAKA (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,
ONGC,ONGC-DEMO-7B20EE,ELECTRICAL COMPONENT EATON 1AEC-YCRN-5T2T-XGAO 1972.01 KA 616601 KV 4P 147 KA,EACH,CAT-ELC,Electrical Component,Eaton,1AEC-YCRN-5T2T-XGAO,,,,,,,,,,,,,
IOCL,IOCL-DEMO-3856B0,PIPE VALLOUREC 3HNY-LMAQ-FXX8-V9W6-Z4N5 37.11 INCH SCH10 ASTM A333 GR 6 10 M,EACH,CAT-PIP,Pipe,Vallourec,3HNY-LMAQ-FXX8-V9W6-Z4N5,ASTM A333 Gr 6,,,,,,37.11 inch,SCH10,,,,,
SAIL,SAIL-DEMO-F4E92A,GASKET FLEXITALLIC 6VIM-LGUR-M44R-LEKM-ZC2J-VHAL 70.84 INCH 2500# PTFE SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,6VIM-LGUR-M44R-LEKM-ZC2J-VHAL,,70.84 inch,2500#,,,,,,,,,,
ONGC,ONGC-DEMO-C09884,FLANGE ULMA Z65P-H1LZ-AXZ5-WEY7-CPOC 59.15 MM 300# SOCKET WELD RING TYPE JOINT (RTJ),EACH,CAT-FLG,Flange,Ulma,Z65P-H1LZ-AXZ5-WEY7-CPOC,,59.15 mm,300#,,,,,,,,,,
SAIL,SAIL-DEMO-6D9E2C,ELECTRICAL COMPONENT ABB MY1U-FDTX-HM7I-43D0 2498.25 KA 526580 KV 3P 48 KA,EACH,CAT-ELC,Electrical Component,ABB,MY1U-FDTX-HM7I-43D0,,,,,,,,,,,,,
IOCL,IOCL-DEMO-D396B6,PPE ANSELL WMAV-VF35-BTLY-5WYA M KEVLAR EN 388 BLUE,EACH,CAT-PPE,PPE,Ansell,WMAV-VF35-BTLY-5WYA,,M,,,,,,,,,,,
NTPC,NTPC-DEMO-455ACA,LUBRICANT MOBIL V4SW TBMI QZEY - GDE3 SAE 10W-40 MINERAL NLGI 3 822 L,EACH,CAT-LUB,Lubricant,Mobil,V4SW TBMI QZEY - GDE3,,,,,,,,,,,,,
ONGC,ONGC-DEMO-3F785A,PIPE TENARIS YXS9-UKD7-VI8R-0GAF-IVLE 35.49 MM SCH80 API 5L X52 11 M,EACH,CAT-PIP,Pipe,Tenaris,YXS9-UKD7-VI8R-0GAF-IVLE,API 5L X52,,,,,,35.49 mm,SCH80,,,,,
NTPC,NTPC-DEMO-C0701C,PIPE VALLOUREC QZRL-Y245-KUOV-JWGC-Q0YD 111.25 MM SCH40 ASTM A106 GR B 10 M,EACH,CAT-PIP,Pipe,Vallourec,QZRL-Y245-KUOV-JWGC-Q0YD,ASTM A106 Gr B,,,,,,111.25 mm,SCH40,,,,,
ONGC,ONGC-DEMO-7A9D27,VALVE CRANE AQ1H-INVH-563D-PZIC-FCYL-8JWP 21.99 MM PN16 DUCTILE IRON FLANGED,EACH,CAT-VLV,Valve,Crane,AQ1H-INVH-563D-PZIC-FCYL-8JWP,,21.99 mm,PN16,,,,,,,Ductile Iron,,Flanged,
ONGC,ONGC-DEMO-6ABA18,GASKET GARLOCK 6BP0-A3GQ-B88S-U31L-KY24-CF8Q 26.44 INCH 150# CNAF PTFE,EACH,CAT-GSK,Gasket,Garlock,6BP0-A3GQ-B88S-U31L-KY24-CF8Q,,26.44 inch,150#,,,,,,,,,,
ONGC,ONGC-DEMO-DD14C2,FLANGE GALPERTI Z0FY-S4FV-YPZH-INP6-8WLK 45.6 INCH 600# WELD NECK FLAT FACE (FF),EACH,CAT-FLG,Flange,Galperti,Z0FY-S4FV-YPZH-INP6-8WLK,,45.6 inch,600#,,,,,,,,,,
BHEL,BHEL-DEMO-AE0FD9,GASKET KLINGER IEPE-6197-UNLP-FKBR-71F8-72L4 8.89 MM 150# RTJ SOFT IRON,EACH,CAT-GSK,Gasket,Klinger,IEPE-6197-UNLP-FKBR-71F8-72L4,,8.89 mm,150#,,,,,,,,,,
NTPC,NTPC-DEMO-D81F63,CABLE HAVELLS 83ITC X EJV6 SQMM 57B7/ER5G 7JAH 15 EACH 269.19 AWG 3.3KV RUBBER,EACH,CAT-CBL,Cable,Havells,83ITC x EJV6 sqmm 57B7/ER5G 7JAH,,,,,,,,,,,,,
ONGC,ONGC-DEMO-905258,CABLE POLYCAB 6EXHC X 1O6D SQMM G4Y7/3HB3 36P3 54 EACH 913.21 MM2 1.1KV EPR,EACH,CAT-CBL,Cable,Polycab,6EXHC x 1O6D sqmm G4Y7/3HB3 36P3,,,,,,,,,,,,,
ONGC,ONGC-DEMO-6490C9,PUMP ITT GOULDS ID70-U0XA-0UEJ-UTEV 6052 GPM 842 FT 1029.08 KW,EACH,CAT-PMP,Pump,ITT Goulds,ID70-U0XA-0UEJ-UTEV,,,,,1029.08 KW,,,,,,,,
SAIL,SAIL-DEMO-D246C7,ELECTRICAL COMPONENT SCHNEIDER ELECTRIC 7PNE-5AUR-56RD-93D6 5189.44 A 585017 V 3P 150 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,7PNE-5AUR-56RD-93D6,,,,,,,,,,,,,
IOCL,IOCL-DEMO-24BBEC,GASKET FLEXITALLIC JWK0-S3BS-YO3S-PJJM-WFZZ-80MZ 21.89 INCH 600# PTFE SS304,EACH,CAT-GSK,Gasket,Flexitallic,JWK0-S3BS-YO3S-PJJM-WFZZ-80MZ,,21.89 inch,600#,,,,,,,,,,
IOCL,IOCL-DEMO-569043,MOTOR WEG O5N3-YTG9-ZDGD-2PZ3-2SVS 2162.4 KW 5495 KV 60 HZ 1000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,WEG,O5N3-YTG9-ZDGD-2PZ3-2SVS,,,,5495 KV,2162.4 kW,60 HZ,,,,,,,
BHEL,BHEL-DEMO-EC2E11,VALVE KITZ C05M-DNU8-EP38-8HEH-CPFG-A2LP 16.16 MM PN16 DUCTILE IRON THREADED,EACH,CAT-VLV,Valve,KITZ,C05M-DNU8-EP38-8HEH-CPFG-A2LP,,16.16 mm,PN16,,,,,,,Ductile Iron,,Threaded,
BHEL,BHEL-DEMO-AADB68,PIPE ARCELORMITTAL A8H1-WUK6-T22J-072B-X4P8 84.29 MM STD API 5L X52 11 M,EACH,CAT-PIP,Pipe,ArcelorMittal,A8H1-WUK6-T22J-072B-X4P8,API 5L X52,,,,,,84.29 mm,STD,,,,,
IOCL,IOCL-DEMO-B6C1F2,MOTOR CROMPTON GREAVES CYB3-O3RB-V0VA-080I-9HCJ 1946.62 HP 9562 KV 50 HZ 1800 RPM ODP,EACH,CAT-MTR,Motor,Crompton Greaves,CYB3-O3RB-V0VA-080I-9HCJ,,,,9562 KV,1946.62 HP,50 HZ,,,,,,,
ONGC,ONGC-DEMO-9216D0,INSTRUMENTATION ENDRESS+HAUSER T1K1-62AD-ZSOA-EYW8-HM2J 6963 PSI MODBUS SANITARY 0.5%,EACH,CAT-INS,Instrumentation,Endress+Hauser,T1K1-62AD-ZSOA-EYW8-HM2J,,,,,,,,,,,,,
BHEL,BHEL-DEMO-82C2D1,BEARING SKF 6H8RIWF0XV7H (E.G. 6204-2RS1/C3) 871 MM 936 INCH 68 MM OPEN,EACH,CAT-BRG,Bearing,SKF,6H8RIWF0XV7H (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
SAIL,SAIL-DEMO-9B2EC0,BEARING FAG QSAFITVBDTMW (E.G. 6204-2RS1/C3) 619 MM 1433 MM 346 MM OPEN,EACH,CAT-BRG,Bearing,FAG,QSAFITVBDTMW (e.g. 6204-2RS1/C3),,,,,,,,,Open,,,,
ONGC,ONGC-DEMO-D32CB8,PPE DUPONT S9P0-WBVN-GDV1-TZZB 11 HDPE EN 397 BLUE,EACH,CAT-PPE,PPE,DuPont,S9P0-WBVN-GDV1-TZZB,,11,,,,,,,,,,,
SAIL,SAIL-DEMO-EA0B19,PIPE TENARIS 7DBV-5YVJ-BVMF-7AY9-IW8I 110.7 INCH SCH160 ASTM A312 TP316L 12 FT,EACH,CAT-PIP,Pipe,Tenaris,7DBV-5YVJ-BVMF-7AY9-IW8I,ASTM A312 TP316L,,,,,,110.7 inch,SCH160,,,,,
IOCL,IOCL-DEMO-E34142,PIPE ARCELORMITTAL BK5I-H1YT-C9IJ-AB7K-CMYW 28.64 MM SCH160 ASTM A106 GR B 12 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,BK5I-H1YT-C9IJ-AB7K-CMYW,ASTM A106 Gr B,,,,,,28.64 mm,SCH160,,,,,
BHEL,BHEL-DEMO-9A41BF,FASTENER KAMAX S7XX-0LE8XIXA4-VYEF-MD9Z 10 INCH 87 INCH 10.9 METRIC COARSE,EACH,CAT-FST,Fastener,Kamax,S7XX-0LE8xIXA4-VYEF-MD9Z,,,,,,,10 inch,,,,,,
SAIL,SAIL-DEMO-CB160E,PPE ANSELL X1MG-74ZN-BXSF-29UV XL KEVLAR EN 388 RED,EACH,CAT-PPE,PPE,Ansell,X1MG-74ZN-BXSF-29UV,,XL,,,,,,,,,,,
NTPC,NTPC-DEMO-F28CA4,BEARING NTN 3X4C79DESM8Y (E.G. 6204-2RS1/C3) 478 INCH 743 MM 101 MM ZZ,EACH,CAT-BRG,Bearing,NTN,3X4C79DESM8Y (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,
BHEL,BHEL-DEMO-EFAB8C,PPE 3M 2APK-5LDW-0W5R-FK9M 9 KEVLAR EN 397 WHITE,EACH,CAT-PPE,PPE,3M,2APK-5LDW-0W5R-FK9M,,9,,,,,,,,,,,
ONGC,ONGC-DEMO-62936B,INSTRUMENTATION YOKOGAWA VX70-QCIG-0W9I-MYW4-RCX1 7270 BAR 4-20MA SANITARY 1.0%,EACH,CAT-INS,Instrumentation,Yokogawa,VX70-QCIG-0W9I-MYW4-RCX1,,,,,,,,,,,,,
IOCL,IOCL-DEMO-D918D8,BEARING SKF JH7YRJ6G20S3 (E.G. 6204-2RS1/C3) 1476 MM 1281 INCH 95 INCH NR,EACH,CAT-BRG,Bearing,SKF,JH7YRJ6G20S3 (e.g. 6204-2RS1/C3),,,,,,,,,NR,,,,
SAIL,SAIL-DEMO-7F7990,PPE 3M TTJW-K5MK-ILNS-Q784 10 POLYCARBONATE ANSI BLUE,EACH,CAT-PPE,PPE,3M,TTJW-K5MK-ILNS-Q784,,10,,,,,,,,,,,
IOCL,IOCL-DEMO-C06234,VALVE FLOWSERVE O6GN-HMYI-3JRZ-544X-4MZ3-MN3D 6.76 INCH 300# A105 WAFER,EACH,CAT-VLV,Valve,Flowserve,O6GN-HMYI-3JRZ-544X-4MZ3-MN3D,,6.76 inch,300#,,,,,,,A105,,Wafer,
