cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,plant
GME,GME-SYN-580180,[SYN] PIPE JINDAL SAW 8ZX8-XWKE-4SCV-MFX1-FJKX 22.69 INCH SCH40 ASTM A106 GR B 6 FT,EACH,CAT-PIP,Pipe,Jindal SAW,8ZX8-XWKE-4SCV-MFX1-FJKX,ASTM A106 Gr B,,,,,,22.69 inch,SCH40,,,,,PLANT-5
GME,GME-SYN-329936,[SYN] PIPE JINDAL SAW 8ZX8-XWKE-4SCV-MFX1-FJKX 22.69 INCH SCH40 ASTM A106 GR B 6 FT,EACH,CAT-PIP,Pipe,Jindal SAW,8ZX8-XWKE-4SCV-MFX1-FJKX,ASTM A106 Gr B,,,,,,22.69 inch,SCH40,,,,,PLANT-2
BUS,BUS-SYN-839234,[SYN] FLANGE MELESI 9XPW-9YH9-0JUK-L3QO-BBYY 33.41 MM 1500# LAP JOINT FLAT FACE (FF),EACH,CAT-FLG,Flange,Melesi,9XPW-9YH9-0JUK-L3QO-BBYY,,33.41 mm,1500#,,,,,,,,,,PLANT-5
BUS,BUS-SYN-297046,[SYN] FLANGE MELESI 9XPW-9YH9-0JUK-L3QO-BBYY 33.41 MM 1500# LAP JOINT FLAT FACE (FF),EACH,CAT-FLG,Flange,Melesi,9XPW-9YH9-0JUK-L3QO-BBYY,,33.41 mm,1500#,,,,,,,,,,PLANT-5
BUS,BUS-SYN-927836,[SYN] MOTOR BALDOR SF32-BED1-D1QS-S5EJ-FR95 6856.3 KW 865 KV 50 HZ 3000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Baldor,SF32-BED1-D1QS-S5EJ-FR95,,,,865 KV,6856.3 kW,50 HZ,,,,,,,PLANT-5
AHM,AHM-SYN-399945,[SYN] MTR BALDOR SF32-BED1-D1QS-S5EJ-FR95 6856.3 KW 865 KV 50 HZ 3000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,Baldor,SF32-BED1-D1QS-S5EJ-FR95,,,,865 KV,6856.3 kW,50 HZ,,,,,,,PLANT-2
CPI,CPI-SYN-481728,[SYN] PPE MSA SAFETY DC3Q-CDN5-1XCO-4LMX 9 LEATHER EN 397 YELLOW,EACH,CAT-PPE,PPE,MSA Safety,DC3Q-CDN5-1XCO-4LMX,,9,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-440156,[SYN] PPE YELLOW LEATHER SAFETY 9 397 MSA DC3Q-CDN5-1XCO-4LMX EN,EACH,CAT-PPE,PPE,MSA Safety,DC3Q-CDN5-1XCO-4LMX,,9,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-670822,[SYN] GASKET GARLOCK PDIG-WROO-JIO4-7QG8-AVL6-6CJF 29.98 INCH 150# PTFE GRAPHITE/SS316,EACH,CAT-GSK,Gasket,Garlock,PDIG-WROO-JIO4-7QG8-AVL6-6CJF,,29.98 inch,150#,,,,,,,,,,PLANT-1
GME,GME-SYN-851491,[SYN] GASKET 150# GRAPHITE/SS316 29.98 GARLOCK INCH PTFE PDIG-WROO-JIO4-7QG8-AVL6-6CJF,EACH,CAT-GSK,Gasket,Garlock,PDIG-WROO-JIO4-7QG8-AVL6-6CJF,,29.98 inch,150#,,,,,,,,,,PLANT-4
NEC,NEC-SYN-248830,[SYN] FLANGE CHW FORGE RVOS-O0LZ-6N4I-QI17-27IY 0.82 INCH 600# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,CHW Forge,RVOS-O0LZ-6N4I-QI17-27IY,,0.82 inch,600#,,,,,,,,,,PLANT-4
CPI,CPI-SYN-138607,[SYN] FLANGE CHW FORGE RVOS-O0LZ-6N4I-QI17-27MY 0.82 INCH 600# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,CHW Forge,RVOS-O0LZ-6N4I-QI17-27IY,,0.82 inch,600#,,,,,,,,,,PLANT-4
GME,GME-SYN-336110,[SYN] LUBRICANT SHELL RFUU XDK1 2S4Q - C2TI ISO VG 220 MINERAL NLGI 2 272 L,EACH,CAT-LUB,Lubricant,Shell,RFUU XDK1 2S4Q - C2TI,,,,,,,,,,,,,PLANT-1
NEC,NEC-SYN-651608,[SYN] LUBRICANT SHELL RFUU XDK1 2S4Q - C2TI ISO VG 220 MINERAL NLGI 2 272 L,EACH,CAT-LUB,Lubricant,Shell,RFUU XDK1 2S4Q - C2TI,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-995828,[SYN] BEARING TIMKEN 2ROZEXL2QQLW (E.G. 6204-2RS1/C3) 27 MM 1977 INCH 224 INCH RS,EACH,CAT-BRG,Bearing,Timken,2ROZEXL2QQLW (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-4
CPI,CPI-SYN-947292,[SYN] BEARING TIMKEN 2ROZEXL2QQLW (E.G. 6204-2RS1/C3) 27 MM 1977 INCH 224 INCH RS,EACH,CAT-BRG,Bearing,Timken,2ROZEXL2QQLW (e.g. 6204-2RS1/C3),,,,,,,,,RS,,,,PLANT-2
BUS,BUS-SYN-206288,[SYN] CABLE HAVELLS 3382C X YG1M SQMM 2UZ8/MZ30 PDL4 81 EACH 295.5 AWG 1.1KV PVC,EACH,CAT-CBL,Cable,Havells,3382C x YG1M sqmm 2UZ8/MZ30 PDL4,,,,,,,,,,,,,PLANT-5
GME,GME-SYN-194518,[SYN] CABLE HAVELLS 3382C X YG1M SQMM 2UZ8/MZ30 PDL4 81 EACH 295.5 AWG 1.1KV PVC,EACH,CAT-CBL,Cable,Havells,3382C x YG1M sqmm 2UZ8/MZ30 PDL4,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-993204,[SYN] CABLE NEXANS KMIHC X RFTH SQMM 5ZVH/JI98 F7D3 78 EACH 881.85 AWG 33KV XLPE,EACH,CAT-CBL,Cable,Nexans,KMIHC x RFTH sqmm 5ZVH/JI98 F7D3,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-965636,[SYN] CABLE NEXANS KMIHC X RFTH SQMM 5ZVH/JI98 F7D3 78 EACH 881.85 AWG 33KV XLPE,EACH,CAT-CBL,Cable,Nexans,KMIHC x RFTH sqmm 5ZVH/JI98 F7D3,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-940357,[SYN] PPE MSA SAFETY TCUQ-S9AK-J5L5-7UCE XL NITRILE EN 397 WHITE,EACH,CAT-PPE,PPE,MSA Safety,TCUQ-S9AK-J5L5-7UCE,,XL,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-197591,[SYN] PPE TCUQ-S9AK-J5L5-7UCE XL SAFETY NITRILE MSA 397 EN WHITE,EACH,CAT-PPE,PPE,MSA Safety,TCUQ-S9AK-J5L5-7UCE,,XL,,,,,,,,,,,PLANT-4
GME,GME-SYN-127934,[SYN] ELECTRICAL COMPONENT ABB U944-B3RF-NKSL-SY32 2948.75 A 785719 V 2P 96 KA,EACH,CAT-ELC,Electrical Component,ABB,U944-B3RF-NKSL-SY32,,,,,,,,,,,,,PLANT-3
BUS,BUS-SYN-375658,[SYN] ELECTRICAL COMPONENT ABB U944-B3RF-NKSL-SY32 2948.75 A 785719 V 2P 96 KA,EACH,CAT-ELC,Electrical Component,ABB,U944-B3RF-NKSL-SY32,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-309630,[SYN] FASTENER KAMAX MEII-WV0IXURJB-I78B-ZAA2 35 INCH 234 MM 10.9 METRIC FINE,EACH,CAT-FST,Fastener,Kamax,MEII-WV0IxURJB-I78B-ZAA2,,,,,,,35 inch,,,,,,PLANT-2
NEC,NEC-SYN-889808,[SYN] FASTENER KAMAX MEII-WV0IXURJB-I78B-ZAA2 35 INCH 234 MM 10.9 METRIC FINE,EACH,CAT-FST,Fastener,Kamax,MEII-WV0IxURJB-I78B-ZAA2,,,,,,,35 inch,,,,,,PLANT-2
CPI,CPI-SYN-920241,[SYN] ELECTRICAL COMPONENT EATON IFKS-MQZQ-C0E9-9ZWB 5845.07 A 674394 V 4P 60 KA,EACH,CAT-ELC,Electrical Component,Eaton,IFKS-MQZQ-C0E9-9ZWB,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-583618,[SYN] ELECTRICAL COMPONENT EATON IFKS-MQZQ-C0E9-9ZWB 5845.07 A 674394 V 4P 60 KA,EACH,CAT-ELC,Electrical Component,Eaton,IFKS-MQZQ-C0E9-9ZWB,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-745961,[SYN] CABLE NEXANS 5SFYC X XH8I SQMM 2FCV/2QQI W3SU 86 EACH 824.46 AWG 3.3KV RUBBER,EACH,CAT-CBL,Cable,Nexans,5SFYC x XH8I sqmm 2FCV/2QQI W3SU,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-600519,[SYN] CABLE NEXANS 5SFYC X XH8I SQMM 2FCV/2QQI W3SU 86 EACH 824.46 AWG 3.3KV RUBBER,EACH,CAT-CBL,Cable,Nexans,5SFYC x XH8I sqmm 2FCV/2QQI W3SU,,,,,,,,,,,,,PLANT-1
NEC,NEC-SYN-268493,[SYN] LUBRICANT TOTALENERGIES UTLT 7345 23O9 - 8NHS ISO VG 46 MINERAL NLGI 2 579 L,EACH,CAT-LUB,Lubricant,TotalEnergies,UTLT 7345 23O9 - 8NHS,,,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-827258,[SYN] LUBRICANT 8NHS UTLT 46 23O9 ISO 7345 NLGI - VG 2 TOTALENERGIES MINERAL 579 L,EACH,CAT-LUB,Lubricant,TotalEnergies,UTLT 7345 23O9 - 8NHS,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-939632,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC NLPC-YK45-88GZ-0LYY 5532.4 KA 177131 V 2P 142 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,NLPC-YK45-88GZ-0LYY,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-264330,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC NLPC-YK45-88GZ-0LYY 5532.4 KA 177131 V 2P 142 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,NLPC-YK45-88GZ-0LYY,,,,,,,,,,,,,PLANT-5
GME,GME-SYN-185964,[SYN] CABLE NEXANS C87VC X 24HD SQMM 9G0K/ATCP QURQ 90 EACH 271.04 AWG 3.3KV XLPE,EACH,CAT-CBL,Cable,Nexans,C87VC x 24HD sqmm 9G0K/ATCP QURQ,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-253318,[SYN] CABLE NEXANS C87VC X 24HD SQMM 9G0K/ATCP QURQ 90 EACH 271.04 AWG 3.3KV XLPE,EACH,CAT-CBL,Cable,Nexans,C87VC x 24HD sqmm 9G0K/ATCP QURQ,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-222127,[SYN] INSTRUMENTATION ROSEMOUNT RDUB-4LDW-JOO0-NENL-8RKT 9956 DEGC PROFIBUS FLANGED 2 INCH 0.5%,EACH,CAT-INS,Instrumentation,Rosemount,RDUB-4LDW-JOO0-NENL-8RKT,,,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-196150,[SYN] INSTRUMENTATION ROSEMOUNT RDUB-4LDW-JOO0-NENL-8RKT 9956 DEGC PROFIBUS FLANGED 2 INCH 0.5%,EACH,CAT-INS,Instrumentation,Rosemount,RDUB-4LDW-JOO0-NENL-8RKT,,,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-370170,[SYN] ELECTRICAL COMPONENT SIEMENS 2L17-P7CD-XJYS-AU5O 3343.33 KA 244361 KV 1P 135 KA,EACH,CAT-ELC,Electrical Component,Siemens,2L17-P7CD-XJYS-AU5O,,,,,,,,,,,,,PLANT-1
GME,GME-SYN-878638,[SYN] ELECTRICAL COMPONENT SIEMENS 2L17-P7CD-XJYS-AU5O 3343.33 KA 244361 KV 1P 135 KA,EACH,CAT-ELC,Electrical Component,Siemens,2L17-P7CD-XJYS-AU5O,,,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-323548,[SYN] GASKET GARLOCK XD7B-XWP6-OVIX-7UHU-4DDU-L2PA 38.84 MM 300# PTFE PTFE,EACH,CAT-GSK,Gasket,Garlock,XD7B-XWP6-OVIX-7UHU-4DDU-L2PA,,38.84 mm,300#,,,,,,,,,,PLANT-4
BUS,BUS-SYN-574869,[SYN] GASKET GARLOCK XD7B-XWP6-OVIX-7UHU-4DDU-L2PA 38.84 MM 300# PTFE PTFE,EACH,CAT-GSK,Gasket,Garlock,XD7B-XWP6-OVIX-7UHU-4DDU-L2PA,,38.84 mm,300#,,,,,,,,,,PLANT-2
AHM,AHM-SYN-764064,[SYN] ELECTRICAL COMPONENT EATON 6R63-Y3B7-ZTSP-JH6V 2897.44 A 628239 V 4P 53 KA,EACH,CAT-ELC,Electrical Component,Eaton,6R63-Y3B7-ZTSP-JH6V,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-394954,[SYN] ELECTRICAL COMPONENT EATON 6R63-Y3B7-ZTSP-JH6V 2897.44 A 628239 V 4P 53 KA,EACH,CAT-ELC,Electrical Component,Eaton,6R63-Y3B7-ZTSP-JH6V,,,,,,,,,,,,,PLANT-3
CPI,CPI-SYN-189899,[SYN] PUMP SULZER AIR7-SXA7-A6G7-FBL4 15240 GPM 2370 FT 3813.74 KW,EACH,CAT-PMP,Pump,Sulzer,AIR7-SXA7-A6G7-FBL4,,,,,3813.74 KW,,,,,,,,PLANT-5
BUS,BUS-SYN-930939,[SYN] PUMP SULZER AIR7-SXA7-A6G7-FBL4 15240 GPM 2370 FT 3813.74 KW,EACH,CAT-PMP,Pump,Sulzer,AIR7-SXA7-A6G7-FBL4,,,,,3813.74 KW,,,,,,,,PLANT-1
AHM,AHM-SYN-786483,[SYN] LUBRICANT CASTROL SCDO GYQ6 HCC4 - 20ZF ISO VG 32 SYNTHETIC (PAO) NLGI 2 346 L,EACH,CAT-LUB,Lubricant,Castrol,SCDO GYQ6 HCC4 - 20ZF,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-569749,[SYN] LUBRICANT (PAO) - ISO VG 32 HCC4 CASTROL 346 NLGI L 20ZF SCDO SYNTHETIC 2 GYQ6,EACH,CAT-LUB,Lubricant,Castrol,SCDO GYQ6 HCC4 - 20ZF,,,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-750466,[SYN] PPE 3M LSJT-725K-2AL9-SSGF XXL LEATHER EN 397 HI-VIS,EACH,CAT-PPE,PPE,3M,LSJT-725K-2AL9-SSGF,,XXL,,,,,,,,,,,PLANT-2
GME,GME-SYN-308017,[SYN] PPE 3M LSJT-725K-2AL9-SSGF XXL LEATHER EN 397 HI-VIS,EACH,CAT-PPE,PPE,3M,LSJT-725K-2AL9-SSGF,,XXL,,,,,,,,,,,PLANT-2
GME,GME-SYN-131171,[SYN] PUMP ITT GOULDS 0IBN-AV3T-1SKO-OX2V 7630 M3/H 2504 M 2455.99 KW,EACH,CAT-PMP,Pump,ITT Goulds,0IBN-AV3T-1SKO-OX2V,,,,,2455.99 KW,,,,,,,,PLANT-4
AHM,AHM-SYN-215649,[SYN] PUMP ITT GOULDS 0IBN-AV3T-1SKO-OX2V 7630 M3/H 2504 M 2455.99 KW,EACH,CAT-PMP,Pump,ITT Goulds,0IBN-AV3T-1SKO-OX2V,,,,,2455.99 KW,,,,,,,,PLANT-1
GME,GME-SYN-887812,[SYN] BEARING NTN F620654RSH56 (E.G. 6204-2RS1/C3) 692 INCH 1747 INCH 36 INCH 2RS,EACH,CAT-BRG,Bearing,NTN,F620654RSH56 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-5
BUS,BUS-SYN-382318,[SYN] BEARING NWN F620654RSH56 (E.G. 6204-2RS1/C3) 692 INCH 1747 INCH 36 INCH 2RS,EACH,CAT-BRG,Bearing,NTN,F620654RSH56 (e.g. 6204-2RS1/C3),,,,,,,,,2RS,,,,PLANT-1
NEC,NEC-SYN-180134,[SYN] PUMP ITT GOULDS NRZK-EUKE-DTNQ-MYE6 14965 M3/H 1737 M 2838.15 KW,EACH,CAT-PMP,Pump,ITT Goulds,NRZK-EUKE-DTNQ-MYE6,,,,,2838.15 KW,,,,,,,,PLANT-5
BUS,BUS-SYN-186202,[SYN] PMP ITT GOULDS NRZK-EUKE-DTNQ-MYE6 14965 M3/H 1737 M 2838.15 KW,EACH,CAT-PMP,Pump,ITT Goulds,NRZK-EUKE-DTNQ-MYE6,,,,,2838.15 KW,,,,,,,,PLANT-2
NEC,NEC-SYN-299321,[SYN] MOTOR CROMPTON GREAVES 146F-KOVI-5NJ9-MRAY-OF54 6359.57 HP 10807 V 60 HZ 1200 RPM TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,146F-KOVI-5NJ9-MRAY-OF54,,,,10807 V,6359.57 HP,60 HZ,,,,,,,PLANT-5
BUS,BUS-SYN-183872,[SYN] MTR RPM 6359.57 CROMPTON HZ 1200 146F-KOVI-5NJ9-MRAY-OF54 60 GREAVES V 10807 HP TEFC,EACH,CAT-MTR,Motor,Crompton Greaves,146F-KOVI-5NJ9-MRAY-OF54,,,,10807 V,6359.57 HP,60 HZ,,,,,,,PLANT-1
GME,GME-SYN-836309,[SYN] PPE DUPONT 4ZKQ-V0AV-8CWR-XPCN XXL HDPE EN 388 WHITE,EACH,CAT-PPE,PPE,DuPont,4ZKQ-V0AV-8CWR-XPCN,,XXL,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-301711,[SYN] PPE DUPONT 4ZKQ-V0AV-8CWR-XPCN XXL HDPE EN 388 WHITE,EACH,CAT-PPE,PPE,DuPont,4ZKQ-V0AV-8CWR-XPCN,,XXL,,,,,,,,,,,PLANT-2
GME,GME-SYN-593656,[SYN] GASKET FLEXITALLIC OEUV-E6MB-3IKE-Z7ER-GW7C-C4PV 32.85 INCH 1500# RTJ PTFE,EACH,CAT-GSK,Gasket,Flexitallic,OEUV-E6MB-3IKE-Z7ER-GW7C-C4PV,,32.85 inch,1500#,,,,,,,,,,PLANT-4
BUS,BUS-SYN-506121,[SYN] GASKET FLEXITALLIC OEUV-E6MB-3IKE-Z7ER-GW7C-C4PV 32.85 INCH 1500# RTJ PTFE,EACH,CAT-GSK,Gasket,Flexitallic,OEUV-E6MB-3IKE-Z7ER-GW7C-C4PV,,32.85 inch,1500#,,,,,,,,,,PLANT-4
GME,GME-SYN-237692,[SYN] VALVE KITZ DXIF-MQN3-IMUM-3EQ5-JTJ6-2QHG 51.04 INCH 600# DUCTILE IRON THREADED,EACH,CAT-VLV,Valve,KITZ,DXIF-MQN3-IMUM-3EQ5-JTJ6-2QHG,,51.04 inch,600#,,,,,,,Ductile Iron,,Threaded,PLANT-4
AHM,AHM-SYN-842240,[SYN] VALVE KITZ DXIF-MQN3-IMUM-3EQ5-JTJ6-2QHG 51.04 INCH 600# DUCTILE IRON THREADED,EACH,CAT-VLV,Valve,KITZ,DXIF-MQN3-IMUM-3EQ5-JTJ6-2QHG,,51.04 inch,600#,,,,,,,Ductile Iron,,Threaded,PLANT-4
GME,GME-SYN-895832,[SYN] FASTENER HILTI YQAP-WGQOXCZAY-17AU-PW9E 23 MM 103 INCH 10.9 UNC,EACH,CAT-FST,Fastener,Hilti,YQAP-WGQOxCZAY-17AU-PW9E,,,,,,,23 mm,,,,,,PLANT-2
BUS,BUS-SYN-218050,[SYN] FASTENER HILTI YQAP-WGQOXCZAY-17AU-PW9E 23 MM 103 INCH 10.9 UNC,EACH,CAT-FST,Fastener,Hilti,YQAP-WGQOxCZAY-17AU-PW9E,,,,,,,23 mm,,,,,,PLANT-3
CPI,CPI-SYN-618339,[SYN] VALVE EMERSON BY4C-K3NS-JR18-N7NL-2443-DHIS 38.1 MM PN40 WCB THREADED,EACH,CAT-VLV,Valve,Emerson,BY4C-K3NS-JR18-N7NL-2443-DHIS,,38.1 mm,PN40,,,,,,,WCB,,Threaded,PLANT-3
AHM,AHM-SYN-323141,[SYN] VALVE EMERSON BY4C-K3NS-JR18-N7NL-2443-DHIS 38.1 MM PN40 WCB THREADED,EACH,CAT-VLV,Valve,Emerson,BY4C-K3NS-JR18-N7NL-2443-DHIS,,38.1 mm,PN40,,,,,,,WCB,,Threaded,PLANT-1
GME,GME-SYN-441399,[SYN] CABLE LAPP G3CNC X ZA61 SQMM ZUQF/9IH6 MGZ3 81 EACH 893.11 AWG 11KV PVC,EACH,CAT-CBL,Cable,LAPP,G3CNC x ZA61 sqmm ZUQF/9IH6 MGZ3,,,,,,,,,,,,,PLANT-3
GME,GME-SYN-961257,[SYN] CABLE LAPP G3CNC X ZA61 SQMM ZUQF/9IH6 MGZ3 81 EACH 893.11 AWG 11KV PVC,EACH,CAT-CBL,Cable,LAPP,G3CNC x ZA61 sqmm ZUQF/9IH6 MGZ3,,,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-736743,[SYN] FASTENER HILTI 8QKE-JKEIXYD18-OPGT-9ATC 59 INCH 280 INCH A4-80 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,8QKE-JKEIxYD18-OPGT-9ATC,,,,,,,59 inch,,,,,,PLANT-3
NEC,NEC-SYN-264614,[SYN] FASTENER HILTI 8QKE-JKEIXYD18-OPGT-9ATC 59 INCH 280 INCH A4-80 METRIC FINE,EACH,CAT-FST,Fastener,Hilti,8QKE-JKEIxYD18-OPGT-9ATC,,,,,,,59 inch,,,,,,PLANT-2
NEC,NEC-SYN-371621,[SYN] MOTOR ABB XOVZ-8I4U-1ZXP-G28M-2HQ3 339.72 HP 343 V 60 HZ 1000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,ABB,XOVZ-8I4U-1ZXP-G28M-2HQ3,,,,343 V,339.72 HP,60 HZ,,,,,,,PLANT-5
AHM,AHM-SYN-173880,[SYN] MOTOR ABB XOVZ-8I4U-1ZXP-G28M-2HQ3 339.72 HP 343 V 60 HZ 1000 RPM EXPLOSION PROOF,EACH,CAT-MTR,Motor,ABB,XOVZ-8I4U-1ZXP-G28M-2HQ3,,,,343 V,339.72 HP,60 HZ,,,,,,,PLANT-4
NEC,NEC-SYN-111971,[SYN] GASKET GARLOCK 91H8-5JE4-EIC2-L4GA-7C87-H3MC 27.55 INCH 1500# SPIRAL WOUND PTFE,EACH,CAT-GSK,Gasket,Garlock,91H8-5JE4-EIC2-L4GA-7C87-H3MC,,27.55 inch,1500#,,,,,,,,,,PLANT-1
NEC,NEC-SYN-819479,[SYN] GASKET GARLOCK 91H8-5JE4-EIC2-L4GA-7C87-H3MC 27.55 INCH 1500# SPIRAL WOUND PTFE,EACH,CAT-GSK,Gasket,Garlock,91H8-5JE4-EIC2-L4GA-7C87-H3MC,,27.55 inch,1500#,,,,,,,,,,PLANT-3
CPI,CPI-SYN-425992,[SYN] LUBRICANT KLÜBER BF0L TOWK MUEK - 3756 SAE 10W-40 ESTER NLGI 2 678 L,EACH,CAT-LUB,Lubricant,Klüber,BF0L TOWK MUEK - 3756,,,,,,,,,,,,,PLANT-5
NEC,NEC-SYN-521001,[SYN] LUBRICANT KLÜBER BF0L TOWK MUEK - 3756 SAE 10W-40 ESTER NLGI 2 678 L,EACH,CAT-LUB,Lubricant,Klüber,BF0L TOWK MUEK - 3756,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-909858,[SYN] FASTENER BOSSARD VA40-SYIBXDHU4-ZIYG-ACHO 65 MM 236 MM 12.9 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,VA40-SYIBxDHU4-ZIYG-ACHO,,,,,,,65 mm,,,,,,PLANT-1
NEC,NEC-SYN-257239,[SYN] FASTENER BOSSARD VA40-SYIBXDHU4-ZIYG-ACHO 65 MM 236 MM 12.9 METRIC COARSE,EACH,CAT-FST,Fastener,Bossard,VA40-SYIBxDHU4-ZIYG-ACHO,,,,,,,65 mm,,,,,,PLANT-5
AHM,AHM-SYN-626150,[SYN] MOTOR BALDOR 3B0C-5HGY-4BIA-U4R5-RPQ2 5681.3 KW 3904 KV 60 HZ 1800 RPM TENV,EACH,CAT-MTR,Motor,Baldor,3B0C-5HGY-4BIA-U4R5-RPQ2,,,,3904 KV,5681.3 kW,60 HZ,,,,,,,PLANT-1
GME,GME-SYN-609184,[SYN] MTR BALDOR 3B0C-5HGY-4BIA-U4R5-RPQ2 5681.3 KW 3904 KV 60 HZ 1800 RPM TENV,EACH,CAT-MTR,Motor,Baldor,3B0C-5HGY-4BIA-U4R5-RPQ2,,,,3904 KV,5681.3 kW,60 HZ,,,,,,,PLANT-2
AHM,AHM-SYN-818530,[SYN] CABLE LAPP W6XWC X AUEQ SQMM 8BYH/3H8R Z3DJ 39 EACH 945.08 MM2 1.1KV PVC,EACH,CAT-CBL,Cable,LAPP,W6XWC x AUEQ sqmm 8BYH/3H8R Z3DJ,,,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-431364,[SYN] CABLE LAPP W6XWC X AUEQ SQMM 8BYH/3H8R Z3DJ 39 EACH 945.08 MM2 1.1KV PVC,EACH,CAT-CBL,Cable,LAPP,W6XWC x AUEQ sqmm 8BYH/3H8R Z3DJ,,,,,,,,,,,,,PLANT-4
AHM,AHM-SYN-890682,[SYN] VALVE KITZ HEIY-O07C-KWYZ-9CB6-OMAH-QUV4 11.91 INCH 300# BRONZE THREADED,EACH,CAT-VLV,Valve,KITZ,HEIY-O07C-KWYZ-9CB6-OMAH-QUV4,,11.91 inch,300#,,,,,,,Bronze,,Threaded,PLANT-3
GME,GME-SYN-767664,[SYN] VALVE KITZ HEIY-O07C-KWYZ-9CB6-OMAH-QUV4 11.91 INCH 300# BRONZE THREADED,EACH,CAT-VLV,Valve,KITZ,HEIY-O07C-KWYZ-9CB6-OMAH-QUV4,,11.91 inch,300#,,,,,,,Bronze,,Threaded,PLANT-1
AHM,AHM-SYN-985106,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC N2Z7-BRD2-12WF-HC3Z 1452.46 A 124298 KV 3P 148 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,N2Z7-BRD2-12WF-HC3Z,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-744387,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC N2Z7-BRD2-12WF-HC3Z 1452.46 A 124298 KV 3P 148 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,N2Z7-BRD2-12WF-HC3Z,,,,,,,,,,,,,PLANT-2
NEC,NEC-SYN-616874,[SYN] CABLE POLYCAB LEF3C X 73M9 SQMM LUWK/VYAC 6LBH 8 EACH 3.0 MM2 11KV XLPE,EACH,CAT-CBL,Cable,Polycab,LEF3C x 73M9 sqmm LUWK/VYAC 6LBH,,,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-621926,[SYN] CABLE POLYCAB LBF3C X 73M9 SQMM LUWK/VYAC 6LBH 8 EACH 3.0 MM2 11KV XLPE,EACH,CAT-CBL,Cable,Polycab,LEF3C x 73M9 sqmm LUWK/VYAC 6LBH,,,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-551102,[SYN] INSTRUMENTATION HONEYWELL HNQ4-DRPK-3SSA-B5NA-LXOV 1060 BAR MODBUS 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Honeywell,HNQ4-DRPK-3SSA-B5NA-LXOV,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-343672,[SYN] INSTRUMENTATION HONEYWELL HNQ4-DRPK-3SSA-B5NA-LXOV 1060 BAR MODBUS 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Honeywell,HNQ4-DRPK-3SSA-B5NA-LXOV,,,,,,,,,,,,,PLANT-3
